,Country Code,year,LE,GNIPPPconst
6367,UMC,2023,76.1949149028821,23763.63152428967
6368,URY,2023,78.138,33046.79759075752
6369,USA,2023,78.38536585365854,85036.30781920781
6370,UZB,2023,72.388,11540.641775463917
6371,VCT,2023,71.23,20445.775705683624
6375,VNM,2023,74.588,14680.602294211907
6376,VUT,2023,71.477,4179.7507233169945
6377,WLD,2023,73.32895015448447,23908.524877721513
6378,WSM,2023,71.698,8338.91154159302
6381,ZAF,2023,66.139,15442.428780727812
6382,ZMB,2023,66.349,3942.9668153458347
6383,ZWE,2023,62.775,5899.007794238024
